Date,Narration,Chq/Ref Number,Value Date,Withdrawal Amt.,Deposit Amt.
01/09/2024,UPI-SWIGGY-ORDER9921-SWIGGY@YBL,UPI091823,01/09/2024,420.00,0.00
02/09/2024,UPI-ZOMATO-DINING-ZOMATO@AXIS,UPI091824,02/09/2024,850.00,0.00
03/09/2024,UBER INDIA SYSTEMS PVT LTD BANGALORE,CARD8827,03/09/2024,310.00,0.00
05/09/2024,BLINKIT GROCERIES DELHI,UPI091825,05/09/2024,640.00,0.00
07/09/2024,AMAZON SELLER SERVICES MUMBAI,CARD9912,07/09/2024,2499.00,0.00
10/09/2024,ATM WDL-HDFC BANK-CONNOGHT PLACE,ATMW01,10/09/2024,5000.00,0.00
12/09/2024,BSES RAJDHANI ELECTRICITY BILL,NEFT9912,12/09/2024,1850.00,0.00
15/09/2024,BOOKMYSHOW MOVIE TICKETS PVR,UPI091826,15/09/2024,720.00,0.00
18/09/2024,NOBROKER RENT PAYMENT SEPTEMBER,NEFT8831,18/09/2024,22000.00,0.00
20/09/2024,SALARY CREDIT FROM TECH CORP LTD,NEFT1122,20/09/2024,0.00,125000.00
22/09/2024,LOCAL CORNER TEA CHAI STALL,UPI091827,22/09/2024,40.00,0.00
25/09/2024,INDIAN OIL PETROL PUMP SAKET,CARD7761,25/09/2024,1500.00,0.00
28/09/2024,APOLLO PHARMACY MEDICINES,UPI091828,28/09/2024,680.00,0.00
30/09/2024,ZERODHA BROKING MUTUAL FUND SIP,ACH9912,30/09/2024,5000.00,0.00
